rank_test_score,mean_test_score,std_test_score,base_score,booster,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda
87,0.8968687397620545,0.002509570018157912,0.1,dart,0.3,15,1000,1.0,1.0
88,0.896800839352646,0.001063008948483483,0.3,dart,0.2,5,1000,0.0,0.7
89,0.8967894858578969,0.001447622087881278,1.0,gbtree,0.3,7,100,0.3,0.1
90,0.8967528036796606,0.00665904167688594,2.0,gbtree,0.1,10,500,1.0,0.3
91,0.896524842740876,0.0011960809839064626,0.6,gbtree,0.15,20,2000,0.3,0.0
92,0.89643647744802,0.0016991346923933932,0.6,dart,0.3,20,100,1.0,0.7
93,0.8964182590054397,0.0012318805928224676,1.0,gbtree,0.5,7,1000,1.0,0.0
94,0.8963760350142133,0.004604441837996933,2.0,dart,0.01,20,500,0.1,0.1
95,0.8961644890183572,0.0036813578609586057,2.0,gbtree,0.2,10,500,0.3,0.7
96,0.8959160888321126,0.00274092787999272,0.1,dart,0.3,15,500,0.7,1.0
97,0.8956606454642414,0.006444412239987985,3.0,dart,0.05,10,100,0.3,0.9
98,0.8955656261966514,0.0039596874794748105,2.0,dart,0.01,20,1000,0.3,0.0
99,0.8955395602789008,0.005149992181353793,3.0,dart,0.3,10,1000,0.3,0.3
100,0.8955350998195767,0.0011245344224418698,2.0,gbtree,0.5,5,100,0.3,1.0
101,0.8947729745662897,0.008367153522064555,2.0,gbtree,0.3,15,2000,1.0,0.0
102,0.8946605753339886,0.007746044839687596,2.0,gbtree,0.15,15,2000,0.9,0.0
103,0.8946039188401862,0.004899353420380914,3.0,gbtree,0.05,15,2000,0.0,0.3
104,0.8945644368710879,0.0024993830710838927,1.0,gbtree,0.3,15,500,0.1,0.3
105,0.8944150586493754,0.002933030891951425,0.1,dart,0.2,3,1000,0.0,1.0
106,0.8943878965497885,0.0015630631956315092,1.0,gbtree,0.01,10,2000,0.0,0.1
107,0.8943697369643261,0.0024112186474020414,0.3,gbtree,0.2,3,1000,0.0,0.7
108,0.894025819930737,0.007637098907594242,2.0,gbtree,0.3,15,500,0.9,1.0
109,0.8940197944468992,0.004610358308364241,2.0,gbtree,0.2,20,100,0.3,0.1
110,0.8939350683852915,0.002358787011927182,0.1,gbtree,0.3,7,500,0.7,0.7
111,0.8937546726545565,0.0015025260147740807,2.0,gbtree,0.1,3,2000,0.0,0.7
112,0.8936462599575709,0.003020552709403481,0.6,dart,0.5,10,100,0.1,0.0
113,0.8934246155768166,0.003603252672486879,2.0,dart,0.3,15,500,0.3,0.0
114,0.8930870463727016,0.0035345830573784197,0.3,gbtree,0.5,20,100,0.7,0.3
115,0.8915114706407009,0.0019604258718505002,0.3,gbtree,0.2,3,1000,0.0,0.0
116,0.8912354616684945,0.007459827810215136,3.0,dart,0.3,15,100,0.3,0.9
117,0.8911733008274129,0.012270053210043843,3.0,gbtree,0.15,15,100,1.0,0.0
118,0.89038375908674,0.004263948877765569,0.6,gbtree,0.5,20,100,1.0,0.7
119,0.8903092023181337,0.004836142623034209,0.3,dart,0.5,15,500,1.0,0.1
120,0.8901139917309473,0.005370601137213006,2.0,gbtree,0.3,15,1000,1.0,0.3
121,0.8900656107129583,0.006226346901139874,1.0,gbtree,0.3,20,500,0.0,0.1
122,0.8899122956306322,0.013106903042697461,3.0,dart,0.05,10,100,1.0,1.0
123,0.889884200867772,0.010654788441786925,3.0,gbtree,0.15,15,100,0.7,0.9
124,0.8893911698103267,0.01316784773853712,3.0,dart,0.15,10,2000,0.9,1.0
125,0.888768820878082,0.006421954676789989,0.6,dart,0.5,15,500,0.1,0.7
126,0.8886380982109804,0.0009072322146844137,0.6,dart,0.5,20,500,0.1,0.1
127,0.8879635817691565,0.008675381313739806,3.0,dart,0.3,15,500,0.7,0.9
128,0.8763858549062068,0.005588336212197186,1.0,gbtree,0.2,15,100,0.0,0.0
129,0.8235107316957117,0.014612075970967368,2.0,gblinear,0.01,7,2000,1.0,0.7
130,0.8233332883739615,0.01527518906521384,0.3,gblinear,0.2,7,100,0.7,1.0
131,0.8232851072674666,0.014981145007958089,0.6,gblinear,0.2,20,100,1.0,0.9
132,0.8231944175750434,0.014834456088930224,2.0,gblinear,0.01,5,2000,0.3,1.0
133,0.8230745149878711,0.014894123893105566,2.0,gblinear,0.01,10,2000,0.1,1.0
134,0.8229424214810201,0.011814863190426328,1.0,gblinear,0.1,20,100,0.9,0.9
135,0.8229359653809919,0.012075527160064421,0.1,gblinear,0.1,5,100,0.9,0.9
136,0.8226799708247132,0.011637034452513835,0.6,gblinear,0.01,3,1000,1.0,0.3
137,0.8226577014275138,0.011650932918668684,0.6,gblinear,0.01,15,1000,1.0,0.0
138,0.8226199922166821,0.011716490660036629,0.3,gblinear,0.01,10,1000,0.9,0.7
139,0.8225418991886435,0.011790086855231578,0.1,gblinear,0.01,20,1000,0.7,1.0
140,0.8225407127247022,0.012169569374733765,0.3,gblinear,0.1,5,100,0.0,1.0
141,0.8224885551848661,0.01348786828710235,3.0,gblinear,0.15,7,100,0.0,0.0
142,0.8220884651986703,0.012013659890626067,0.3,gblinear,0.01,15,1000,0.1,0.0
143,0.8220113366353912,0.016493938473809644,2.0,gblinear,0.05,7,500,0.0,1.0
144,0.8219916985836361,0.011934862205787856,1.0,gblinear,0.01,20,1000,0.0,0.1
145,0.8214957242482935,0.01727925778781107,3.0,gblinear,0.3,5,100,0.7,0.9
146,0.8210982337678497,0.01802615710985479,0.1,gblinear,0.3,3,100,0.7,0.3
147,0.8207510845505793,0.018049848953414244,3.0,gblinear,0.3,7,100,0.0,0.7
148,0.8206592140557234,0.01831315524039957,0.3,gblinear,0.3,7,100,0.0,0.0
149,0.8192031002530012,0.006720098523094112,1.0,dart,0.01,7,100,0.9,0.3
150,0.8191365741030764,0.005158580581728952,1.0,gbtree,0.01,5,100,0.9,1.0
151,0.8187968095247028,0.006597979970954304,1.0,gbtree,0.01,15,100,0.7,0.1
152,0.8187355348455475,0.020632276991154,3.0,gblinear,0.5,20,100,1.0,0.9
153,0.8186022253355543,0.0227510114339296,0.1,gblinear,0.5,3,2000,0.7,0.0
154,0.8183637936610911,0.022397890667942694,0.3,gblinear,0.5,10,2000,0.7,1.0
155,0.818319106621697,0.022177745083304164,0.3,gblinear,0.5,10,2000,0.3,1.0
156,0.818303389646335,0.02079063375125477,1.0,gblinear,0.05,5,1000,0.7,0.7
157,0.818155316469543,0.020898048290529696,0.6,gblinear,0.05,15,1000,0.7,0.7
158,0.8181126149347955,0.022710250646838286,2.0,gblinear,0.5,7,1000,0.1,0.9
159,0.8180706500561392,0.023015721843186107,2.0,gblinear,0.5,5,1000,1.0,0.1
160,0.8180361772061193,0.02129840127488684,0.3,gblinear,0.5,7,100,0.1,0.0
161,0.8178926683030261,0.022575289955708202,2.0,gblinear,0.3,15,2000,0.1,0.0
162,0.8178267068347105,0.022864363949611565,1.0,gblinear,0.3,10,2000,0.3,1.0
163,0.8178236396359828,0.02277978583766803,0.1,gblinear,0.3,5,2000,0.0,0.1
164,0.8175914315321111,0.01001774119880479,1.0,gblinear,0.05,5,100,0.9,0.7
